HomeTAZfactor,superD_dest,taz_driving,taz_transit,commuter_count,home_lat,home_lon,dest_lat,dest_lon
43,1.0,17.0,32.0,902,37.80372126,-122.4381198,37.788717654718205,-122.40900092053552
43,2.0,10.0,25.0,454,37.80372126,-122.4381198,37.78494491888719,-122.44528827456274
43,3.0,28.0,53.0,248,37.80372126,-122.4381198,37.75073743885415,-122.42052814221317
43,4.0,26.0,43.0,62,37.803721257641925,-122.43811976855895,37.742438374444,-122.4808705677315
43,18.0,51.0,86.0,64,37.803721257641925,-122.43811976855895,37.79525905351587,-122.23454234396391
43,19.0,52.0,81.0,38,37.803721257641925,-122.43811976855895,37.86314654588441,-122.27415722294221
43,33.0,30.0,97.0,21,37.803721257641925,-122.43811976855895,37.995146799604484,-122.55327316018457
43,34.0,17.0,55.0,27,37.803721257641925,-122.43811976855895,37.90157963846768,-122.51226771308859
44,1.0,15.0,27.0,1164,37.80098105,-122.4306407,37.788717654718205,-122.40900092053552
44,2.0,10.0,23.0,503,37.80098105,-122.4306407,37.78494491888719,-122.44528827456274
44,3.0,25.0,51.0,300,37.80098105,-122.4306407,37.75073743885415,-122.42052814221317
44,4.0,27.0,38.0,57,37.80098105339806,-122.4306406723301,37.742438374444,-122.4808705677315
44,5.0,44.0,77.0,90,37.80098105339806,-122.4306406723301,37.65355542190556,-122.44983365772562
44,6.0,43.0,91.0,27,37.80098105339806,-122.4306406723301,37.54880006373962,-122.3030570928971
44,18.0,52.0,87.0,88,37.80098105339806,-122.4306406723301,37.79525905351587,-122.23454234396391
44,19.0,53.0,86.0,51,37.80098105339806,-122.4306406723301,37.86314654588441,-122.27415722294221
44,34.0,22.0,39.0,38,37.80098105339806,-122.4306406723301,37.90157963846768,-122.51226771308859
45,1.0,13.0,23.0,841,37.79788427,-122.4298345,37.788717654718205,-122.40900092053552
45,2.0,8.0,27.0,338,37.79788427,-122.4298345,37.78494491888719,-122.44528827456274
45,3.0,23.0,45.0,221,37.79788427,-122.4298345,37.75073743885415,-122.42052814221317
45,4.0,27.0,43.0,35,37.797884268292684,-122.42983451626016,37.742438374444,-122.4808705677315
